Tuberculosis_locus,smegmatis_locus,H37RA_locus,Bovis_locus
0:Rv2525c:2849852-2850574,,2:MRA_RS13465:2861820-2862542,3:BQ2027_RS13025:2821060-2821782
0:Rv2526:2851091-2851318,,2:MRA_RS13470:2863059-2863286,3:BQ2027_RS13030:2822299-2822526
0:Rv2527:2851315-2851716,,2:MRA_RS13475:2863283-2863684,3:BQ2027_RS13035:2822523-2822924
0:Rv2528c:2851751-2852671,,2:MRA_RS13480:2863719-2864639,3:BQ2027_RS13040:2822959-2823879
0:Rv2530c:2854267-2854686,,2:MRA_RS13490:2866235-2866654,3:BQ2027_RS13055:2825475-2825894
0:Rv2530A:2854683-2854907,,2:MRA_RS13495:2866651-2866875,3:BQ2027_RS13060:2825891-2826115
0:Rv2531c:2854938-2857781,,2:MRA_RS13500:2866906-2869749,3:BQ2027_RS13065:2826146-2828989
0:Rv2532c:2857853-2858254,,2:MRA_RS13505:2869821-2870222,3:BQ2027_RS13070:2829061-2829462
0:Rv2533c:2858254-2858724,1:MSMEG_RS14750:3108169-3108651,2:MRA_RS13510:2870222-2870692,3:BQ2027_RS13075:2829462-2829932
0:Rv2537c:2861148-2861591,,2:MRA_RS13530:2873116-2873559,3:BQ2027_RS13095:2832356-2832799
0:Rv2538c:2861588-2862676,,2:MRA_RS13535:2873556-2874644,3:BQ2027_RS13100:2832796-2833884
0:Rv2539c:2862673-2863203,,2:MRA_RS13540:2874641-2875171,3:BQ2027_RS13105:2833881-2834411
0:Rv2541:2864427-2864834,,2:MRA_RS13550:2876488-2876802,3:BQ2027_RS13115:2835728-2836042
0:Rv2542:2865130-2866341,,2:MRA_RS13555:2877098-2878309,3:BQ2027_RS13120:2836338-2837549
0:Rv2543:2866468-2867127,,2:MRA_RS13560:2878436-2879095,
0:Rv2544:2867124-2867786,,2:MRA_RS13565:2879092-2879754,3:BQ2027_RS13135:2838988-2839650
0:Rv2545:2867783-2868061,,2:MRA_RS13570:2879751-2880029,3:BQ2027_RS13140:2839647-2839925
0:Rv2546:2868154-2868567,,2:MRA_RS13575:2880122-2880535,3:BQ2027_RS13145:2840018-2840431
0:Rv2547:2868606-2868863,,2:MRA_RS13580:2880574-2880831,3:BQ2027_RS13150:2840470-2840727
0:Rv2548:2868860-2869237,,2:MRA_RS13585:2880828-2881205,3:BQ2027_RS13155:2840724-2841101
0:Rv2548A:2869253-2869627,,2:MRA_RS13590:2881221-2881595,3:BQ2027_RS13160:2841117-2841491
0:Rv2549c:2869727-2870122,,2:MRA_RS13595:2881695-2882090,3:BQ2027_RS13165:2841591-2841986
0:Rv2550c:2870119-2870364,,2:MRA_RS13600:2882087-2882332,3:BQ2027_RS13170:2841983-2842228
0:Rv2551c:2870775-2871194,,2:MRA_RS13605:2882743-2883162,3:BQ2027_RS13175:2842639-2843058
0:Rv2552c:2871206-2872015,,2:MRA_RS13610:2883174-2883983,3:BQ2027_RS13180:2843070-2843897
0:Rv2555c:2873771-2876485,1:MSMEG_RS14695:3096983-3099673,2:MRA_RS13625:2885739-2888453,3:BQ2027_RS13195:2845634-2848348
0:Rv2557:2877072-2877746,,2:MRA_RS13635:2889094-2889714,3:BQ2027_RS13205:2848989-2849609
0:Rv2558:2877831-2878541,1:MSMEG_RS14685:3095627-3096256,2:MRA_RS13640:2889886-2890509,3:BQ2027_RS13210:2849781-2850404
0:Rv2560:2880075-2881052,,2:MRA_RS13650:2892043-2893020,3:BQ2027_RS13220:2851938-2852915
0:Rv2563:2882290-2883339,,2:MRA_RS13670:2894258-2895307,3:BQ2027_RS13230:2854152-2855201
0:Rv2564:2883342-2884334,,2:MRA_RS13675:2895310-2896302,3:BQ2027_RS13235:2855204-2856196
0:Rv2565:2884611-2886362,,2:MRA_RS13680:2896579-2898330,3:BQ2027_RS13240:2856473-2858224
0:Rv2566:2886373-2889795,,2:MRA_RS13685:2898422-2901763,3:BQ2027_RS13245:2858316-2861655
0:Rv2567:2889795-2892449,,2:MRA_RS13690:2901763-2904417,3:BQ2027_RS13250:2861655-2864309
0:Rv2568c:2892446-2893471,1:MSMEG_RS14665:3091715-3092743,2:MRA_RS13695:2904414-2905439,3:BQ2027_RS13255:2864306-2865331
0:Rv2570:2894512-2894901,,2:MRA_RS13705:2906480-2906869,3:BQ2027_RS13265:2866372-2866761
0:Rv2571c:2894893-2895960,,2:MRA_RS13710:2906861-2907928,3:BQ2027_RS13270:2866753-2867820
0:Rv2572c:2896013-2897803,1:MSMEG_RS14585:3070138-3071934,2:MRA_RS13715:2907981-2909771,3:BQ2027_RS13275:2867827-2869662
0:Rv2573:2898043-2898783,,2:MRA_RS13720:2909864-2910751,3:BQ2027_RS13280:2869755-2870642
0:Rv2576c:2900226-2900690,,2:MRA_RS13735:2912194-2912658,3:BQ2027_RS13295:2872085-2872549
0:Rv2577:2900918-2902507,,2:MRA_RS13740:2912886-2914475,3:BQ2027_RS13300:2872777-2874366
0:Rv2578c:2902509-2903531,1:MSMEG_RS14520:3056160-3057179,2:MRA_RS13745:2914477-2915499,3:BQ2027_RS13305:2874368-2875390
0:Rv2579:2903639-2904541,,2:MRA_RS13750:2915607-2916509,3:BQ2027_RS13310:2875498-2876400
0:Rv2582:2906814-2907740,,2:MRA_RS13765:2918830-2919708,3:BQ2027_RS13325:2878721-2879599
0:Rv2588c:2915846-2916193,1:MSMEG_RS14375:3022735-3023058,2:MRA_RS13795:2927814-2928161,3:BQ2027_RS13355:2887705-2888052
0:Rv2590:2917871-2921377,1:MSMEG_RS14355:3015785-3019291,2:MRA_RS13805:2929839-2933345,3:BQ2027_RS13365:2889730-2893236
0:Rv2591:2921551-2923182,,2:MRA_RS13810:2933519-2935150,3:BQ2027_RS13370:2893410-2895050
0:Rv2592c:2923199-2924233,1:MSMEG_RS14300:3005439-3006494,2:MRA_RS13815:2935167-2936201,3:BQ2027_RS13375:2895067-2896101
0:Rv2594c:2924817-2925383,1:MSMEG_RS14290:3004295-3004852,2:MRA_RS13825:2936785-2937351,3:BQ2027_RS13385:2896685-2897251
0:Rv2595:2925492-2925737,,2:MRA_RS13830:2937460-2937705,3:BQ2027_RS13390:2897360-2897605
0:Rv2596:2925734-2926138,,2:MRA_RS13835:2937702-2938106,3:BQ2027_RS13395:2897602-2898006
0:Rv2597:2926355-2926975,,2:MRA_RS13840:2938323-2938943,3:BQ2027_RS13400:2898223-2898843
0:Rv2598:2926986-2927480,,2:MRA_RS13845:2938954-2939448,3:BQ2027_RS13405:2898854-2899348
0:Rv2599:2927477-2927908,,2:MRA_RS13850:2939445-2939876,3:BQ2027_RS13410:2899345-2899776
0:Rv2600:2927990-2928391,,2:MRA_RS13855:2939931-2940359,3:BQ2027_RS13415:2899801-2900259
0:Rv2601:2928388-2929959,,2:MRA_RS13860:2940356-2941927,3:BQ2027_RS13420:2900256-2901827
0:Rv2601A:2930070-2930357,,2:MRA_RS13865:2942038-2942325,3:BQ2027_RS13425:2901938-2902225
0:Rv2602:2930344-2930784,,2:MRA_RS13870:2942312-2942752,3:BQ2027_RS13430:2902212-2902652
0:Rv2603c:2930805-2931560,1:MSMEG_RS14275:3002244-3002999,2:MRA_RS13875:2942773-2943528,3:BQ2027_RS13435:2902673-2903428
0:Rv2607:2934198-2934872,,2:MRA_RS13895:2946166-2946840,3:BQ2027_RS13455:2906066-2906740
0:Rv2608:2935046-2936788,,2:MRA_RS13900:2947014-2948756,3:BQ2027_RS13460:2906914-2908656
0:Rv2609c:2936810-2937865,1:MSMEG_RS14255:2998581-2999636,2:MRA_RS13905:2948778-2949833,3:BQ2027_RS13465:2908678-2909733
0:Rv2614A:2943376-2943603,,2:MRA_RS13935:2955344-2955571,3:BQ2027_RS13495:2915244-2915471
0:Rv2615c:2943600-2944985,,2:MRA_RS13940:2955568-2956953,3:BQ2027_RS13500:2915468-2916862
0:Rv2616:2945330-2945830,,2:MRA_RS13945:2957298-2957798,3:BQ2027_RS13505:2917207-2917707
0:Rv2617c:2945847-2946287,,2:MRA_RS13950:2957815-2958255,3:BQ2027_RS13510:2917724-2918164
0:Rv2618:2946434-2947111,,2:MRA_RS13955:2958351-2959079,3:BQ2027_RS13515:2918260-2918988
0:Rv2619c:2947096-2947449,,2:MRA_RS13960:2959064-2959417,3:BQ2027_RS13520:2918973-2919326
0:Rv2620c:2947462-2947887,,2:MRA_RS13965:2959430-2959855,3:BQ2027_RS13525:2919339-2919764
0:Rv2621c:2947884-2948558,,2:MRA_RS13970:2959852-2960526,3:BQ2027_RS13530:2919761-2920432
0:Rv2622:2948636-2949457,,2:MRA_RS13975:2960604-2961425,3:BQ2027_RS13535:2920510-2921331
0:Rv2623:2949593-2950486,,2:MRA_RS13980:2961561-2962454,3:BQ2027_RS13540:2921467-2922360
0:Rv2624c:2950489-2951307,,2:MRA_RS13985:2962457-2963251,3:BQ2027_RS13545:2922363-2923157
0:Rv2625c:2951322-2952503,,2:MRA_RS13990:2963290-2964471,3:BQ2027_RS13550:2923196-2924377
0:Rv2626c:2952562-2952993,,2:MRA_RS13995:2964530-2964961,3:BQ2027_RS13555:2924436-2924867
0:Rv2627c:2953507-2954748,,2:MRA_RS14000:2965475-2966716,3:BQ2027_RS13560:2925381-2926622
0:Rv2628:2955058-2955420,,2:MRA_RS14005:2967131-2967388,3:BQ2027_RS13565:2927037-2927294
0:Rv2629:2955767-2956891,,2:MRA_RS14010:2967735-2968859,3:BQ2027_RS13570:2927641-2928765
0:Rv2630:2956893-2957432,,2:MRA_RS14015:2968861-2969400,3:BQ2027_RS13575:2928767-2929306
0:Rv2631:2957572-2958870,,2:MRA_RS14020:2969416-2970838,3:BQ2027_RS13580:2929322-2930743
0:Rv2632c:2958909-2959190,,2:MRA_RS14025:2970877-2971158,3:BQ2027_RS13585:2930782-2931063
0:Rv2633c:2959335-2959820,,2:MRA_RS14030:2971303-2971788,3:BQ2027_RS13590:2931208-2931693
0:Rv2634c:2960105-2962441,,2:MRA_RS14040:2972073-2974409,3:BQ2027_RS13600:2931978-2934314
0:Rv2635:2962470-2962712,,2:MRA_RS14045:2974438-2974680,3:BQ2027_RS13605:2934343-2934585
0:Rv2636:2962713-2963390,,2:MRA_RS14050:2974681-2975358,3:BQ2027_RS13610:2934586-2935263
0:Rv2637:2963586-2964242,,2:MRA_RS14055:2975554-2976210,3:BQ2027_RS13615:2935459-2936115
0:Rv2638:2964405-2964851,,2:MRA_RS14060:2976373-2976819,3:BQ2027_RS13620:2936278-2936724
0:Rv2639c:2965026-2965358,,2:MRA_RS14065:2976994-2977326,3:BQ2027_RS13625:2936899-2937231
0:Rv2640c:2965478-2965837,,2:MRA_RS14070:2977446-2977805,3:BQ2027_RS13630:2937351-2937710
0:Rv2641:2965939-2966397,,2:MRA_RS14075:2977907-2978365,3:BQ2027_RS13635:2937812-2938270
0:Rv2642:2966533-2966913,,2:MRA_RS14080:2978501-2978881,3:BQ2027_RS13640:2938406-2938786
0:Rv2643:2966910-2968406,,2:MRA_RS14085:2978878-2980374,3:BQ2027_RS13645:2938783-2940279
0:Rv2645:2970123-2970554,,2:MRA_RS14115:2982091-2982522,
0:Rv2646:2970551-2971549,,2:MRA_RS14120:2982519-2983517,
0:Rv2647:2971659-2972027,,2:MRA_RS14125:2983531-2983995,
0:Rv2649:2972435-2973421,,2:MRA_RS14135:2984128-2985389,
0:Rv2650c:2973795-2975234,,2:MRA_RS14140:2985763-2987202,
0:Rv2651c:2975242-2975775,,2:MRA_RS14145:2987210-2987743,
0:Rv2652c:2975928-2976554,,2:MRA_RS21765:2987896-2988387,
0:Rv2653c:2976586-2976909,,2:MRA_RS14155:2988554-2988877,
0:Rv2654c:2976989-2977234,,2:MRA_RS14160:2988957-2989202,
0:Rv2655c:2977231-2978658,,2:MRA_RS14165:2989199-2990626,
0:Rv2656c:2978660-2979052,,2:MRA_RS14170:2990628-2991020,
0:Rv2657c:2979049-2979309,,2:MRA_RS14175:2991017-2991277,
0:Rv2658c:2979326-2979688,,2:MRA_RS14180:2991294-2991656,
0:Rv2659c:2979691-2980818,,2:MRA_RS14185:2991659-2992786,
0:Rv2660c:2980963-2981190,,2:MRA_RS14190:2992931-2993158,3:BQ2027_RS13680:2941860-2942081
0:Rv2661c:2981187-2981576,,2:MRA_RS21770:2993155-2993544,3:BQ2027_RS13685:2942078-2942467
0:Rv2662:2981482-2981754,,2:MRA_RS14195:2993450-2993722,3:BQ2027_RS13690:2942373-2942645
0:Rv2663:2981853-2982086,,2:MRA_RS14200:2993821-2994054,3:BQ2027_RS13695:2942744-2942977
0:Rv2664:2982097-2982351,,2:MRA_RS14205:2994065-2994319,3:BQ2027_RS13700:2942988-2943242
0:Rv2665:2982699-2982980,,2:MRA_RS14210:2994667-2994948,3:BQ2027_RS13705:2943590-2943871
0:Rv2666:2983071-2983874,,2:MRA_RS14215:2995039-2995821,3:BQ2027_RS13710:2943962-2944744
0:Rv2667:2983896-2984654,1:MSMEG_RS13530:2857143-2857877,2:MRA_RS14220:2995864-2996622,3:BQ2027_RS13715:2944787-2945545
0:Rv2668:2984733-2985254,,2:MRA_RS14225:2996701-2997222,3:BQ2027_RS13720:2945624-2946145
0:Rv2675c:2991184-2991936,,2:MRA_RS14260:3003152-3003904,3:BQ2027_RS13755:2952130-2952882
0:Rv2679:2995115-2995945,,2:MRA_RS14280:3007083-3007913,3:BQ2027_RS13775:2956061-2956891
0:Rv2682c:2998052-2999968,1:MSMEG_RS13450:2841956-2843872,2:MRA_RS14295:3010020-3011936,3:BQ2027_RS13790:2959100-2961016
0:Rv2683:3000112-3000609,,2:MRA_RS14300:3012134-3012577,3:BQ2027_RS13795:2961214-2961657
0:Rv2684:3000614-3001903,,2:MRA_RS14305:3012582-3013871,3:BQ2027_RS13800:2961662-2962951
0:Rv2685:3001983-3003269,,2:MRA_RS14310:3013951-3015237,3:BQ2027_RS13805:2963031-2964317
0:Rv2686c:3003280-3004038,,2:MRA_RS14315:3015248-3016006,3:BQ2027_RS13810:2964328-2965086
0:Rv2687c:3004035-3004748,,2:MRA_RS14320:3016003-3016716,3:BQ2027_RS13815:2965083-2965796
0:Rv2688c:3004745-3005650,,2:MRA_RS14325:3016713-3017618,3:BQ2027_RS13820:2965793-2966698
0:Rv2701c:3015863-3016735,1:MSMEG_RS13375:2828808-2829659,2:MRA_RS14390:3027831-3028703,3:BQ2027_RS13885:2976911-2977783
0:Rv2703:3017835-3019421,,2:MRA_RS14400:3029803-3031389,3:BQ2027_RS13895:2978883-2980469
0:Rv2704:3019458-3019886,,2:MRA_RS14405:3031426-3031854,3:BQ2027_RS13900:2980506-2980934
0:Rv2706c:3020200-3020457,,2:MRA_RS21795:3032168-3032425,3:BQ2027_RS13910:2981248-2981505
0:Rv2712c:3024270-3025328,,2:MRA_RS14445:3036238-3037296,3:BQ2027_RS13940:2985318-2986376
0:Rv2714:3027065-3028039,1:MSMEG_RS13310:2816586-2817632,2:MRA_RS14455:3039033-3040007,3:BQ2027_RS13950:2988113-2989087
0:Rv2717c:3029867-3030361,,2:MRA_RS14470:3041835-3042329,3:BQ2027_RS13965:2990915-2991409
0:Rv2719c:3031040-3031537,,2:MRA_RS14480:3043008-3043505,3:BQ2027_RS13975:2992088-2992585
0:Rv2721c:3032520-3034619,,2:MRA_RS14490:3044488-3046587,3:BQ2027_RS13985:2993568-2995667
0:Rv2722:3034635-3034883,,2:MRA_RS14495:3046603-3046851,3:BQ2027_RS13990:2995683-2995931
0:Rv2723:3034909-3036102,,2:MRA_RS14500:3046877-3048070,3:BQ2027_RS13995:2995957-2997150
0:Rv2724c:3036131-3037291,,2:MRA_RS14505:3048099-3049259,3:BQ2027_RS14000:2997179-2998339
0:Rv2725c:3037427-3038914,,2:MRA_RS14510:3049395-3050825,3:BQ2027_RS14005:2998475-2999905
0:Rv2726c:3038931-3039800,1:MSMEG_RS13260:2803499-2804374,2:MRA_RS14515:3050899-3051768,3:BQ2027_RS14010:2999979-3000848
0:Rv2727c:3039825-3040769,1:MSMEG_RS13255:2802586-2803494,2:MRA_RS14520:3051793-3052737,3:BQ2027_RS14015:3000873-3001817
0:Rv2729c:3041570-3042475,,2:MRA_RS14530:3053538-3054443,3:BQ2027_RS14025:3002618-3003523
0:Rv2730:3042542-3043018,,2:MRA_RS14535:3054510-3054986,3:BQ2027_RS14030:3003590-3004066
0:Rv2731:3043026-3044378,1:MSMEG_RS13240:2799515-2800879,2:MRA_RS14540:3054994-3056346,3:BQ2027_RS14035:3004074-3005426
0:Rv2732c:3044375-3044989,1:MSMEG_RS13235:2798872-2799497,2:MRA_RS14545:3056343-3056957,3:BQ2027_RS14040:3005423-3006037
0:Rv2734:3046821-3047675,,2:MRA_RS21805:3058789-3059643,3:BQ2027_RS14050:3007869-3008723
0:Rv2735c:3047560-3048552,,2:MRA_RS14555:3059528-3060520,3:BQ2027_RS14055:3008608-3009600
0:Rv2737c:3049052-3051424,,2:MRA_RS14565:3061020-3063392,3:BQ2027_RS14065:3010100-3012472
0:Rv2737A:3051619-3051792,,2:MRA_RS14570:3063587-3063760,3:BQ2027_RS14070:3012667-3012840
0:Rv2741:3053914-3055491,,2:MRA_RS14590:3065882-3067459,3:BQ2027_RS14090:3015006-3016454
0:Rv2746c:3058602-3059231,,2:MRA_RS14615:3070570-3071169,3:BQ2027_RS14125:3019588-3020187
0:Rv2751:3063638-3064528,,2:MRA_RS14640:3075606-3076496,3:BQ2027_RS14150:3024624-3025514
0:Rv2755c:3068189-3068464,,2:MRA_RS14660:3080157-3080432,3:BQ2027_RS14170:3029175-3029450
0:Rv2756c:3068461-3070083,,2:MRA_RS14665:3080429-3082051,3:BQ2027_RS14175:3029447-3031069
0:Rv2757c:3070170-3070586,,2:MRA_RS14670:3082138-3082554,3:BQ2027_RS14180:3031156-3031572
0:Rv2758c:3070583-3070849,,2:MRA_RS14675:3082551-3082817,3:BQ2027_RS14185:3031569-3031835
0:Rv2759c:3070875-3071270,,2:MRA_RS14680:3082843-3083238,3:BQ2027_RS14190:3031861-3032256
0:Rv2760c:3071267-3071536,,2:MRA_RS14685:3083235-3083504,3:BQ2027_RS14195:3032253-3032522
0:Rv2761c:3071546-3072640,,2:MRA_RS14690:3083514-3084608,3:BQ2027_RS14200:3032532-3033626
0:Rv2762c:3072637-3073056,,2:MRA_RS14695:3084605-3085024,3:BQ2027_RS14205:3033623-3034042
0:Rv2763c:3073130-3073609,1:MSMEG_RS12965:2750372-2750836,2:MRA_RS14700:3085098-3085577,3:BQ2027_RS14210:3034116-3034595
0:Rv2766c:3075588-3076370,,2:MRA_RS14715:3087556-3088338,3:BQ2027_RS14225:3036574-3037356
0:Rv2767c:3076367-3076720,,2:MRA_RS21815:3088335-3088688,3:BQ2027_RS14230:3037353-3037706
0:Rv2768c:3076894-3078078,,2:MRA_RS14725:3088862-3090046,3:BQ2027_RS14235:3037880-3039064
0:Rv2769c:3078158-3078985,,2:MRA_RS14730:3090126-3090953,3:BQ2027_RS14240:3039144-3039971
0:Rv2770c:3079309-3080457,,2:MRA_RS14735:3091277-3092425,3:BQ2027_RS14245:3040295-3041443
0:Rv2774c:3082352-3082756,,2:MRA_RS14755:3094320-3094724,3:BQ2027_RS14265:3043338-3043742
0:Rv2775:3082909-3083370,,2:MRA_RS14760:3094781-3095338,3:BQ2027_RS14270:3043799-3044356
0:Rv2776c:3083374-3084303,,2:MRA_RS14765:3095342-3096433,3:BQ2027_RS14275:3044360-3045451
0:Rv2777c:3084485-3085555,,2:MRA_RS14770:3096453-3097523,3:BQ2027_RS14280:3045471-3046541
0:Rv2778c:3085713-3086183,,2:MRA_RS14775:3097681-3098151,3:BQ2027_RS14285:3046699-3047169
0:Rv2781c:3087950-3088984,,2:MRA_RS14790:3099918-3100952,3:BQ2027_RS14300:3048911-3049945
0:Rv2783c:3090339-3092597,1:MSMEG_RS12890:2735997-2738288,2:MRA_RS14800:3102307-3104565,3:BQ2027_RS14310:3051300-3053558
0:Rv2787:3095111-3096874,,2:MRA_RS14820:3107079-3108842,3:BQ2027_RS14330:3056072-3057835
0:Rv2788:3096959-3097645,1:MSMEG_RS12870:2733015-2733725,2:MRA_RS14825:3108927-3109613,3:BQ2027_RS14335:3057920-3058606
0:Rv2789c:3097706-3098938,,2:MRA_RS14830:3109674-3110906,3:BQ2027_RS14340:3058667-3059899
0:Rv2790c:3098964-3100169,,2:MRA_RS14835:3110932-3112137,3:BQ2027_RS14345:3059925-3061130
0:Rv2791c:3100202-3101581,,2:MRA_RS14840:3112170-3113549,3:BQ2027_RS14350:3061163-3062542
0:Rv2792c:3101581-3102162,,2:MRA_RS14845:3113549-3114130,3:BQ2027_RS14355:3062542-3063123
0:Rv2796c:3105056-3105619,,2:MRA_RS14865:3117024-3117587,3:BQ2027_RS14375:3066017-3066580
0:Rv2797c:3105619-3107307,,2:MRA_RS14870:3117587-3119275,3:BQ2027_RS14380:3066580-3068268
0:Rv2798c:3107311-3107637,,2:MRA_RS14875:3119279-3119605,3:BQ2027_RS14385:3068272-3068598
0:Rv2799:3107768-3108397,1:MSMEG_RS12835:2725764-2726348,2:MRA_RS14880:3119778-3120365,3:BQ2027_RS14390:3068771-3069361
0:Rv2801c:3110167-3110523,,2:MRA_RS14890:3122135-3122491,3:BQ2027_RS14400:3071131-3071487
0:Rv2801A:3110507-3110737,,2:MRA_RS14895:3122475-3122705,3:BQ2027_RS14405:3071471-3071701
0:Rv2802c:3110780-3111823,,2:MRA_RS14900:3122748-3123791,3:BQ2027_RS14410:3071744-3072787
0:Rv2805:3112867-3113271,,2:MRA_RS14915:3124835-3125239,3:BQ2027_RS14425:3073831-3074235
0:Rv2806:3113268-3113459,,2:MRA_RS14920:3125236-3125427,3:BQ2027_RS14430:3074232-3074423
0:Rv2807:3113658-3114812,,2:MRA_RS14925:3125491-3126780,3:BQ2027_RS14435:3074487-3075776
0:Rv2808:3115046-3115303,,2:MRA_RS14930:3127014-3127271,3:BQ2027_RS14440:3076010-3076267
0:Rv2809:3115408-3115719,,2:MRA_RS14935:3127376-3127687,3:BQ2027_RS14445:3076372-3076683
0:Rv2811:3116139-3116747,,2:MRA_RS14945:3128107-3128715,3:BQ2027_RS14455:3077103-3077711
0:Rv2812:3116818-3118227,,2:MRA_RS14950:3128786-3130195,3:BQ2027_RS14460:3077782-3079189
0:Rv2813:3118224-3119036,,2:MRA_RS14955:3130192-3131004,3:BQ2027_RS14465:3079186-3079998
0:Rv2814c:3120566-3121552,,2:MRA_RS14960:3132534-3133795,
0:Rv2816c:3123625-3123966,,2:MRA_RS14970:3135616-3135957,3:BQ2027_RS14475:3084599-3084940
0:Rv2817c:3123967-3124983,,2:MRA_RS14975:3135958-3136974,3:BQ2027_RS14480:3084941-3085957
0:Rv2818c:3124996-3126144,,2:MRA_RS14980:3136987-3138234,3:BQ2027_RS14485:3085970-3087217
0:Rv2819c:3126240-3127367,,2:MRA_RS14985:3138231-3139358,3:BQ2027_RS14490:3087214-3088341
0:Rv2820c:3127364-3128272,,2:MRA_RS14990:3139355-3140263,3:BQ2027_RS14495:3088338-3089246
0:Rv2821c:3128253-3128963,,2:MRA_RS14995:3140244-3140954,3:BQ2027_RS14500:3089227-3089937
0:Rv2822c:3128973-3129347,,2:MRA_RS15000:3140964-3141338,3:BQ2027_RS14505:3089947-3090321
0:Rv2823c:3129344-3131773,,2:MRA_RS15005:3141335-3143764,3:BQ2027_RS14510:3090318-3092756
0:Rv2824c:3131770-3132714,,2:MRA_RS15010:3143761-3144549,3:BQ2027_RS14515:3092753-3093541
0:Rv2825c:3132892-3133539,,2:MRA_RS15015:3144883-3145428,3:BQ2027_RS14520:3093875-3094420
0:Rv2826c:3133709-3134593,,2:MRA_RS15020:3145701-3146585,3:BQ2027_RS14525:3094692-3095576
0:Rv2827c:3134596-3135483,,2:MRA_RS15025:3146588-3147475,3:BQ2027_RS14530:3095579-3096466
0:Rv2828c:3135788-3136333,,2:MRA_RS15030:3147780-3148325,3:BQ2027_RS14535:3096771-3097316
0:Rv2828A:3136330-3136599,1:MSMEG_RS12820:2723205-2723471,2:MRA_RS15035:3148322-3148591,3:BQ2027_RS14540:3097313-3097582
0:Rv2829c:3136620-3137012,,2:MRA_RS15040:3148612-3149004,3:BQ2027_RS14545:3097603-3097995
0:Rv2830c:3137009-3137224,,2:MRA_RS15045:3149001-3149216,3:BQ2027_RS14550:3097992-3098207
0:Rv2832c:3138099-3139181,,2:MRA_RS15055:3150091-3151173,3:BQ2027_RS14560:3099082-3100164
0:Rv2833c:3139174-3140484,,2:MRA_RS15060:3151166-3152476,3:BQ2027_RS14565:3100157-3101467
0:Rv2834c:3140487-3141314,,2:MRA_RS15065:3152479-3153306,3:BQ2027_RS14570:3101470-3102297
0:Rv2835c:3141311-3142222,,2:MRA_RS15070:3153303-3154214,3:BQ2027_RS14575:3102294-3103204
0:Rv2836c:3142309-3143628,1:MSMEG_RS12765:2712067-2713434,2:MRA_RS15075:3154301-3155620,3:BQ2027_RS14580:3103291-3104610
0:Rv2848c:3156148-3157521,1:MSMEG_RS12700:2697720-2699096,2:MRA_RS15135:3168140-3169513,3:BQ2027_RS14640:3117076-3118449
0:Rv2850c:3158165-3160054,1:MSMEG_RS12690:2695174-2697057,2:MRA_RS15145:3170157-3172046,3:BQ2027_RS14650:3119093-3120982
0:Rv2853:3162268-3164115,,2:MRA_RS15160:3174260-3176107,3:BQ2027_RS14665:3123196-3125043
0:Rv2856:3166684-3167802,,2:MRA_RS15175:3178676-3179794,3:BQ2027_RS14680:3127612-3128730
0:Rv2862c:3174059-3174643,1:MSMEG_RS12540:2667790-2668377,2:MRA_RS15215:3186051-3186635,3:BQ2027_RS14720:3134987-3135571
0:Rv2862A:3174747-3174995,,2:MRA_RS15220:3186739-3186987,3:BQ2027_RS14725:3135675-3135923
0:Rv2863:3174992-3175372,,2:MRA_RS15225:3186984-3187364,3:BQ2027_RS14730:3135920-3136300
0:Rv2865:3177537-3177818,,2:MRA_RS15235:3189529-3189810,3:BQ2027_RS14740:3138465-3138746
0:Rv2866:3177822-3178085,,2:MRA_RS15240:3189814-3190077,3:BQ2027_RS14745:3138750-3139013
0:Rv2871:3183138-3183395,,2:MRA_RS15265:3195130-3195387,3:BQ2027_RS14770:3144066-3144323
0:Rv2872:3183382-3183825,,2:MRA_RS15270:3195374-3195817,3:BQ2027_RS14775:3144310-3144753
0:Rv2873:3183905-3184567,,2:MRA_RS15275:3195897-3196559,3:BQ2027_RS14780:3144833-3145495
0:Rv2874:3184847-3186934,,2:MRA_RS15285:3197178-3198926,3:BQ2027_RS14790:3146114-3147862
0:Rv2875:3187030-3187611,,2:MRA_RS15290:3199022-3199603,3:BQ2027_RS14795:3147958-3148539
0:Rv2877c:3188008-3188871,,2:MRA_RS15300:3200000-3200863,3:BQ2027_RS14805:3148936-3149799
0:Rv2878c:3188876-3189397,,2:MRA_RS15305:3200868-3201389,3:BQ2027_RS14810:3149804-3150325
0:Rv2880c:3189851-3190678,1:MSMEG_RS12345:2629087-2630205,2:MRA_RS15315:3201575-3202670,3:BQ2027_RS14815:3150511-3151605
0:Rv2884:3193393-3194151,,2:MRA_RS15335:3205385-3206143,3:BQ2027_RS14835:3154320-3155078
0:Rv2885c:3194166-3195548,,2:MRA_RS15340:3206158-3207537,3:BQ2027_RS14840:3155093-3156473
0:Rv2892c:3200794-3202020,,2:MRA_RS21835:3212786-3214012,3:BQ2027_RS14875:3161722-3162948
0:Rv2893:3202420-3203397,1:MSMEG_RS12210:2603192-2604151,2:MRA_RS15375:3214412-3215389,3:BQ2027_RS14880:3163348-3164325
0:Rv2895c:3204381-3205232,1:MSMEG_RS12180:2596370-2597242,2:MRA_RS15385:3216373-3217224,3:BQ2027_RS14890:3165309-3166160
